,ID,SUMMARY
265,LUCENE-3728, better handling of files inside/outside CFS by codec 
266,LUCENE-3682, Add deprecated 'transition' api for Document/Field 
267,LUCENE-250, Javadocs for Scorer.java and TermScorer.java 
268,LUCENE-845," If you ""flush by RAM usage"" then IndexWriter may over-merge "
269,LUCENE-3596, DirectoryTaxonomyWriter extensions should be able to set internal index writer config attributes such as info stream 
270,LUCENE-947, Some improvements to contrib/benchmark 
271,LUCENE-750, don't use finalizers for FSIndexInput clones 
272,LUCENE-3417, DictionaryCompoundWordTokenFilter does not properly add tokens from the end compound word. 
273,LUCENE-587, Explanation.toHtml outputs invalid HTML 
274,LUCENE-3432, TieredMergePolicy expungeDeletes should not enforce maxMergedSegmentMB 
275,LUCENE-1117, Intermittent thread safety issue with EnwikiDocMaker 
276,LUCENE-2734, Use IndexWriterConfig in benchmark 
277,LUCENE-3458," Change BooleanFilter to have only a single clauses ArrayList (so toString() works fine, clauses() method could be added) so it behaves more lik BooleanQuery "
278,LUCENE-1113, fix for Document.getBoost() documentation 
279,LUCENE-796, Change Visibility of fields[] in MultiFieldQueryParser 
280,LUCENE-594, Javadoc - Field constructor with Reader needs comment about retained reference 
281,LUCENE-2265, improve automaton performance by running on byte[] 
282,LUCENE-1180, Syns2Index fails 
283,LUCENE-3368, IndexWriter commits update documents without corresponding delete 
284,LUCENE-880, DocumentWriter closes TokenStreams too early 
285,LUCENE-393, Inconsistent scoring with SpanTermQuery in BooleanQuery 
286,LUCENE-550, InstantiatedIndex - faster but memory consuming index 
287,LUCENE-1953, FastVectorHighlighter: small fragCharSize can cause StringIndexOutOfBoundsException  
288,LUCENE-1176, TermVectors corruption case when autoCommit=false 
289,LUCENE-3508, Decompounders based on CompoundWordTokenFilterBase cannot be used with custom attributes 
290,LUCENE-1592, fix or deprecate TermsEnum.skipTo 
291,LUCENE-1529," back-compat tests (""ant test-tag"") should test JAR drop-in-ability "
292,LUCENE-2247, Add CharArrayMap to lucene and make CharAraySet an proxy on the keySet() of it 
293,LUCENE-1653, Change DateTools to not create a Calendar in every call to dateToString or timeToString 
294,LUCENE-370, BooleanQuery assumes everything else implements skipTo 
295,LUCENE-679," CLONE -QueryParser is not applicable for the arguments (String, String, Analyzer) error in results.jsp when executing search in the browser (demo from Lucene 2.0) "
296,LUCENE-1547, Rare thread hazard in IndexWriter.commit() 
297,LUCENE-510, IndexOutput.writeString() should write length in bytes 
298,LUCENE-739, Performance improvement for SegmentMerger.mergeNorms() 
299,LUCENE-2115, Port to Generics - test cases in contrib  
300,LUCENE-601, RAMDirectory implements Serializable 
301,LUCENE-1970, Remove deprecated DocIdSetIterator methods 
302,LUCENE-2793, Directory createOutput and openInput should take an IOContext 
303,LUCENE-379, Contribution: Efficient Sorting of DateField/DateTools Encoded Timestamp Long Values 
304,LUCENE-1848," Remove references to older versions of Lucene in ""per-release"" documentation "
305,LUCENE-1461, Cached filter for a single term field 
306,LUCENE-2609, Generate jar containing test classes. 
307,LUCENE-1837, Remove Searcher from Weight#explain 
308,LUCENE-2778, Allow easy extension of RAMDirectory 
309,LUCENE-3394, TestIndexFileDeleter checkIndex fail 
310,LUCENE-1701," Add NumericField, make plain text numeric parsers public in FieldCache, move trie parsers to FieldCache "
311,LUCENE-2648, Allow PackedInts.ReaderIterator to advance more than one value 
312,LUCENE-3174, Similarity.Stats class for term & collection statistics 
313,LUCENE-3215, SloppyPhraseScorer sometimes computes Infinite freq 
314,LUCENE-3521, upgrade icu jar to 4.8.1.1 / remove lucenetestcase hack 
