,ID,SUMMARY
282,JCR-780, Simultaneous updates by multiple sessions might not appear in the journal 
283,JCR-2417, RepositoryException when using BindVariables in JCR-SQL2 CONTAINS 
284,JCR-2900, DbClusterTest failure due to network configuration 
285,JCR-2844, MaxCount not working correctly in user/group query when restricting to group members 
286,JCR-2217, Enable DataStore in default configuration 
287,JCR-1113, Refactor the Mapper & DescriptotReader classes 
288,JCR-1963, Determination of property state difference should skip binary values 
289,JCR-2266, Skip deployment of jackrabbit-standalone 
290,JCR-1769, RFC4918 feature: PROPFIND/include 
291,JCR-975, NodeImpl.checkin() calls save() three times 
292,JCR-584, Improve handling of concurrent node modifications 
293,JCR-2537, spi2davex: clear uri-lookup after removing node identified with uniqueID 
294,JCR-398, maven2 repository 
295,JCR-75, JCR taglib 
296,JCR-3138, Skip sync delay when changes are found 
297,JCR-3133, Query Stats should use the TimeSeries mechanism 
298,JCR-1948, Let the AbstractISMLockingTest tests fail properly 
299,JCR-2979, Deprecate RepositoryService.getNodeInfo method 
300,JCR-159, JCR-RMI UnmarshalException when calling getProperty() 
301,JCR-1332, CLONE -Aggregate include ignored if no primaryType set 
302,JCR-1561, New MsOutlook Message Extractor 
303,JCR-1494, [PATCH] XPathQueryBuilder reports misleading column numbers for faulty queries 
304,JCR-2995, jcr2spi: create ChangePolling thread on demand 
305,JCR-3181, add test case for recovering from broken version history hierarchy 
306,JCR-2116, JSR 283: Built-In Node Types 
307,JCR-2503,  inconsistent session and persistent state after ReferentialIntegrityException 
308,JCR-2778, Node.removeMixin fails if the mixin defines a protected child node 
309,JCR-507, TCK: NodeTest#testMixinTypesProtected incorrectly fails 
310,JCR-54, Remove JDOM dependency 
311,JCR-408, RowIterator view of result for query '//*' only returns jcr:path column 
312,JCR-2024, Bundle cache is not cleared when *BundlePersistenceManager is closed 
313,JCR-2506, Stop text extraction when the maxFieldLength limit is reached 
314,JCR-2490, jackrabbit wrongly think nodetype is changed on nodetype re-registration 
315,JCR-3174, Destination URI should be normalized 
316,JCR-1824, Change log level for text extractor timeout 
317,JCR-3115, Versioning fixup leaves persistence in a state where the node can't be made versionable again 
318,JCR-330, Include the README file in the generated jar files 
319,JCR-2478, Improve logging in LazyItemIterator#prefetchNext  
320,JCR-2883, Node.orderBefore and JackrabbitNode.rename should check for ability to modify children-collection on parent node 
321,JCR-385, ClassCastExeption when executing union queries 
322,JCR-624, OutOfMemoryError When repeat login and the logout many times 
323,JCR-238, workspace.copy causes 2 nodes in the same workspace to have the same version history 
324,JCR-2869, AccessControlManager#setPolicy may fail for new applicable policy despite jcr:modifyAccessControl privilege being granted 
325,JCR-1954, DataStore: gc.stopScan() should be optional 
326,JCR-2852, Support multi-selector OR constraints in join queries 
327,JCR-2563, Add UserManager.createGroup(String groupID) method 
328,JCR-285, Line-separator differences cause PredefinedNodeTypeTest to fail on different operating systems. 
329,JCR-474, Introduce 'SecurityConfig' for better extensability. 
330,JCR-2317, Lower log level for index updates from queue 
331,JCR-396, RMI published Repository using the jcr-rmi library gets lost over time 
332,JCR-1691, Includes new (old) mimetypes that OpenOfficeTextExtractor can handle 
333,JCR-2002, Support system property to define the DefaultTransactionTimeout for a XASession 
334,JCR-832, BundleDBPersistenceManager does not free blobStore resources 
335,JCR-1649, Separate NOTICEs and LICENSEs for binary and source packages 
336,JCR-1204, Redesign SPI observation 
337,JCR-1454, NullPointerException may be thrown when trying to enumerate observation event listeners 
338,JCR-3095, Move operation may turn AC caches stale 
339,JCR-761, JCA build failure with J2EE 1.3 
340,JCR-1559, Null Pointer Exception while looking for a DavProperty that hasn't been set 
341,JCR-3027, JCR Server has concurrency issues on JcrWebdavServer.SessionCache internal HashMap caches 
342,JCR-957, Set jcr and servlet-api dependency scope to provided 
343,JCR-1592, JSR 283: Activities 
344,JCR-1177, Move jackrabbit/trunk/contrib to jackrabbit/sandbox 
345,JCR-455, InternalXAResource.rollback() can be called twice and without prepare 
346,JCR-1251, DescendantSelfAxisQuery creates too many object instances 
347,JCR-3139, missing sync in InternalVersionManagerImpl.externalUpdate can cause ConcurrentModificationException 
348,JCR-998, Annotation based implementation of jackrabbit ocm 
349,JCR-891, Add import-export tool 
350,JCR-400, PROPPATCH error marshalling when the resource can't be modified in general 
351,JCR-280, JCR-Server: IllegalArgumentException when retrieving DateHeader 
352,JCR-2004, Update SPI locking to match JCR 2.0 
353,JCR-2865, a dead lock in DefaultISMLocking 
354,JCR-2270, Restoring a deleted version does not work (throws Exception) 
355,JCR-272, Removal of versions throws javax.jcr.ReferentialIntegrityException 
356,JCR-2432, Escape colon in statement of jcr:contains 
357,JCR-2569, Implement jcr-jackrabbit://... repository URIs 
358,JCR-3076, Mandatory authentication prevents webdav client connections 
359,JCR-1877, the spi2dav sandbox project should be put into a common release cycle 
360,JCR-2236, Malformed excerpt if content contains markup and no highlights found 
361,JCR-2836, Unclosed threads in Jackrabbit 
362,JCR-2138, Prevent persistence of faulty back-references 
363,JCR-1798, JCR2SPI: Avoid individual Item reloading upon Session/Item.refresh(true) 
364,JCR-160, Query index not in sync with workspace 
365,JCR-1627, pom.xml in sandbox/spi has wrong scm url 
366,JCR-614, Weird locking behaviour in CachingHierarchyManager 
367,JCR-242, registration of new namespace does not respect existing session mappings 
368,JCR-3222, Allow servlet filters to specify custom session providers 
369,JCR-1345, ClassCastException when updating properties using WebDAV 
370,JCR-247, Child axis support for XPath predicates 
371,JCR-333, NodeTypeDef depends on supertype ordering 
372,JCR-973, XML import using MacOS X WebDAV client does not work 
373,JCR-2188, Parallelize tests 
374,JCR-1159, SPI: improve description of locking methods on RepositoryService 
375,JCR-2887, Split PrivilegeRegistry in a per-session manager instance and a repository level registry 
376,JCR-1543, Improve reliability of canAddMixin 
377,JCR-8, Multiple PropertyDefs with same name not possible 
